,id,car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
10,11,maruti alto 800,2014,petrol,53180,206899,noida,1446,hatchback,manual,lxi,True,delhi,delhi,True,dl9c,inperson_sale,maruti,alto 800,in_stock,1,200605,great,20210306120547,True,4806,31035,False,False
11,12,hyundai i10,2008,petrol,44219,194699,noida,1798,hatchback,manual,sportz 1.2,True,gurgaon,haryana,True,hr26,inperson_sale,hyundai,i10,in_stock,1,153600,good,20210308052608,True,4522,29205,False,False
12,13,hyundai i20,2012,diesel,55764,287999,noida,3115,hatchback,manual,sportz 1.4 crdi,True,new delhi,delhi,True,dl7c,inperson_sale,hyundai,i20,in_stock,2,275325,great,20201126124917,True,6689,43200,False,False
13,14,honda brio,2012,petrol,58581,235699,noida,1752,hatchback,manual,1.2 v mt i vtec,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,honda,brio,in_stock,1,234607,great,20210129143917,True,5475,35355,False,False
14,15,hyundai i10,2011,petrol,49761,207499,noida,2226,hatchback,manual,magna 1.2 kappa2,True,delhi,delhi,True,dl10,inperson_sale,hyundai,i10,in_stock,1,188721,good,20210313061855,True,4820,31125,False,False
15,16,honda city,2010,petrol,63808,304199,noida,2493,sedan,manual,s mt petrol,True,noida,uttar pradesh,True,up16,inperson_sale,honda,city,in_stock,1,281400,great,20201227145333,True,7066,45630,False,False
16,17,hyundai i10,2011,petrol,70126,217599,noida,2450,hatchback,manual,sportz 1.2 kappa2,True,delhi,delhi,True,dl3c,inperson_sale,hyundai,i10,in_stock,1,216800,great,20210217060310,True,5054,32640,False,False
17,18,hyundai eon,2013,petrol,49817,216899,noida,1498,hatchback,manual,d lite plus,True,panchkula,haryana,True,hr03,inperson_sale,hyundai,eon,in_stock,1,201155,great,20210308044839,True,5038,32535,False,False
18,19,maruti swift,2015,diesel,62806,396499,noida,2965,hatchback,manual,vdi abs,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,swift,in_stock,1,409866,great,20210120100006,True,9210,59475,False,False
19,20,honda brio,2015,petrol,58396,347399,noida,620,hatchback,manual,1.2 s mt i vtec,True,delhi,delhi,True,dl13,inperson_sale,honda,brio,in_stock,2,327940,great,20210305121044,True,8069,52110,False,False
20,21,hyundai eon,2014,petrol,59559,209799,noida,2216,hatchback,manual,era plus,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,hyundai,eon,in_stock,1,205754,great,20210306100600,True,4873,31470,False,False
21,22,hyundai verna,2012,diesel,68355,398799,noida,1960,sedan,manual,fluidic 1.6 sx crdi,True,gurgaon,haryana,True,hr26,inperson_sale,hyundai,verna,in_stock,1,367000,great,20201107115750,True,9263,59820,False,False
22,23,maruti ritz,2010,petrol,82078,207099,noida,881,hatchback,manual,vxi bs iv,True,delhi,delhi,True,dl3c,inperson_sale,maruti,ritz,in_stock,1,193591,great,20210117132341,True,4810,31065,False,False
23,24,maruti swift,2013,diesel,66350,318399,noida,779,hatchback,manual,vdi,True,delhi,delhi,True,dl8c,inperson_sale,maruti,swift,in_transit,1,307404,great,20210227092137,True,7396,47760,False,False
24,25,maruti alto,2010,petrol,56231,180999,noida,1161,hatchback,manual,lxi,True,meerut,uttar pradesh,True,up15,inperson_sale,maruti,alto,in_stock,2,154164,good,20210322083714,True,4204,27150,False,False
25,26,hyundai i20,2010,petrol,72985,227699,noida,1505,hatchback,manual,magna o 1.2,True,gurgaon,haryana,True,hr26,inperson_sale,hyundai,i20,in_stock,1,212540,great,20210308064126,True,5289,34155,False,False
26,27,hyundai santro xing,2009,petrol,79244,164899,noida,2030,hatchback,manual,gls,True,delhi,delhi,True,dl3c,inperson_sale,hyundai,santro xing,in_stock,1,129230,good,20210402080038,True,3830,24735,False,False
27,28,maruti swift,2014,petrol,71876,389699,noida,1151,hatchback,manual,vxi,True,delhi,delhi,True,dl2c,inperson_sale,maruti,swift,in_stock,1,377352,great,20210214091039,True,9052,58455,False,False
28,29,maruti swift dzire,2011,petrol,90479,224299,noida,2775,sedan,manual,vxi 1.2 bs iv,True,faridabad,haryana,True,hr51,inperson_sale,maruti,swift dzire,in_stock,1,214978,great,20210213070820,True,5210,33645,False,False
29,30,ford ecosport,2013,diesel,66940,397199,noida,3986,suv,manual,1.5 trend tdci,True,faridabad,haryana,True,hr51,inperson_sale,ford,ecosport,in_stock,1,383822,great,20201219193014,True,9226,59580,False,False
30,31,maruti swift dzire,2013,diesel,80394,332499,noida,1491,sedan,manual,vdi bs iv,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,swift dzire,in_stock,1,317758,great,20210102135044,True,7723,49875,False,False
31,32,maruti swift dzire,2012,diesel,77954,306899,noida,748,sedan,manual,vdi bs iv,True,new delhi,delhi,True,dl3c,inperson_sale,maruti,swift dzire,in_stock,2,297766,great,20201128132953,True,7128,46035,False,False
32,33,nissan sunny,2012,petrol,82364,287099,noida,1537,sedan,manual,xl petrol,True,delhi,delhi,True,dl11,inperson_sale,nissan,sunny,in_stock,1,255552,great,20210228152908,True,6669,43065,False,False
33,34,hyundai xcent,2014,diesel,66743,276299,noida,1339,sedan,manual,s 1.1 crdi,True,delhi,delhi,True,dl10,inperson_sale,hyundai,xcent,in_stock,1,252792,great,20210311104840,True,6418,41445,False,False
34,35,maruti ritz,2012,diesel,114402,228699,noida,491,hatchback,manual,vdi,False,new delhi,delhi,True,dl4c,inperson_sale,maruti,ritz,in_stock,1,217015,great,20210314080712,True,5312,34305,False,False
35,36,hyundai i20,2012,diesel,83767,244399,noida,4003,hatchback,manual,magna o 1.4 crdi,True,noida,uttar pradesh,True,up16,inperson_sale,hyundai,i20,in_stock,1,253021,great,20210129131600,True,5677,36660,False,False
36,37,toyota etios liva,2012,diesel,87914,266299,noida,606,hatchback,manual,d 4d gd,True,delhi,delhi,True,dl12,inperson_sale,toyota,etios liva,in_stock,1,269200,great,20201220193004,True,6185,39945,False,False
37,38,maruti swift,2013,diesel,74429,314499,noida,1418,hatchback,manual,vdi,True,noida,uttar pradesh,True,up14,inperson_sale,maruti,swift,in_stock,2,294044,great,20210203085729,True,7305,47175,False,False
38,39,maruti swift,2014,diesel,81137,381299,noida,770,hatchback,manual,vdi,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,maruti,swift,in_stock,2,358594,great,20210318181844,True,8857,57195,False,False
39,40,hyundai i20,2012,diesel,85689,302299,noida,1268,hatchback,manual,sportz 1.4 crdi,True,goutam  budd  nagar,uttar pradesh,True,up16,inperson_sale,hyundai,i20,in_stock,1,292039,great,20210406084841,True,7022,45345,False,False
40,41,hyundai santro xing,2011,petrol,139038,165499,noida,2258,hatchback,manual,gl plus,True,delhi,delhi,True,dl3c,inperson_sale,hyundai,santro xing,in_stock,1,154046,great,20210301091802,True,3844,24825,False,False
41,42,hyundai grand i10,2013,petrol,82328,364399,noida,400,hatchback,manual,sportz 1.2 kappa vtvt,True,delhi,delhi,True,dl2c,inperson_sale,hyundai,grand i10,in_stock,1,336609,great,20210306091323,True,8464,54660,False,False
42,43,hyundai verna,2015,diesel,87238,542699,noida,1289,sedan,manual,fluidic 1.6 crdi s,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,hyundai,verna,in_stock,1,541498,great,20210223114704,True,12606,81405,False,False
43,44,maruti swift dzire,2010,petrol,95236,202499,noida,2344,sedan,manual,vxi,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,swift dzire,in_stock,2,199251,great,20210129094444,True,4704,30375,False,False
44,45,maruti alto k10,2012,petrol,92532,215599,noida,493,hatchback,manual,vxi,True,new delhi,delhi,True,dl12,inperson_sale,maruti,alto k10,in_stock,1,195602,great,20210313004556,True,5008,32340,False,False
45,46,maruti celerio,2016,petrol & cng,104962,326499,noida,2613,hatchback,manual,vxi cng,True,faridabad,haryana,True,hr51,inperson_sale,maruti,celerio,in_stock,1,295326,great,20210212110205,True,7584,48975,False,False
46,47,maruti baleno,2016,diesel,88453,545799,noida,1463,hatchback,manual,alpha ddis 190,True,delhi,delhi,True,dl1c,inperson_sale,maruti,baleno,in_stock,1,565654,great,20201110083103,True,12678,81870,False,False
47,48,maruti swift dzire,2013,diesel,77823,390699,noida,468,sedan,manual,zdi,True,delhi,delhi,True,dl4c,inperson_sale,maruti,swift dzire,in_stock,1,382228,great,20210308125351,True,9075,58605,False,False
48,49,maruti swift dzire,2013,diesel,82016,274399,noida,2521,sedan,manual,ldi bs iv,True,delhi,delhi,True,dl3c,inperson_sale,maruti,swift dzire,in_stock,2,284400,great,20210104125112,True,6374,41160,False,False
49,50,hyundai i20,2012,diesel,112314,294799,noida,608,hatchback,manual,sportz 1.4 crdi,True,gurgaon,haryana,True,hr26,inperson_sale,hyundai,i20,in_stock,1,271977,great,20210306105657,True,6847,44220,False,False
50,51,maruti swift dzire,2013,diesel,96826,352799,noida,1102,sedan,manual,vdi,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,swift dzire,in_stock,1,348318,great,20210326070400,True,8195,52920,False,False
51,52,maruti swift,2015,diesel,91280,405399,noida,572,hatchback,manual,vdi abs,True,faridabad,haryana,True,hr51,inperson_sale,maruti,swift,in_stock,1,381900,great,20201028073755,True,9416,60810,False,False
52,53,maruti swift,2015,diesel,92527,372899,noida,1172,hatchback,manual,vdi abs,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,swift,in_stock,1,365500,great,20201203125504,True,8662,55935,False,False
53,54,hyundai new elantra,2013,diesel,81971,604299,noida,1946,luxury sedan,manual,s 1.6 mt,True,gurgaon,haryana,True,hr26,inperson_sale,hyundai,new elantra,in_stock,1,527571,great,20201101134323,True,14036,90645,False,False
54,55,hyundai i20,2012,diesel,118130,243299,noida,1385,hatchback,manual,sportz o 1.4 crdi,True,noida,uttar pradesh,True,up16,inperson_sale,hyundai,i20,in_stock,3,210000,great,20201128123207,True,5651,36495,False,False
55,56,maruti swift,2014,diesel,124969,367999,noida,812,hatchback,manual,zdi,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,maruti,swift,in_stock,1,381500,great,20201226084811,True,8548,55200,False,False
56,57,maruti swift,2011,diesel,133175,289199,noida,1424,hatchback,manual,zdi,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,maruti,swift,in_stock,1,253611,great,20201121132325,True,6717,43380,False,False
57,58,maruti swift dzire,2013,diesel,110484,391499,noida,776,sedan,manual,zdi,True,gurgaon,haryana,True,hr26,inperson_sale,maruti,swift dzire,in_stock,1,395404,great,20210312050115,True,9094,58725,False,False
58,59,honda amaze,2014,petrol,78097,337799,noida,1330,sedan,manual,1.2 smt i vtec,True,faridabad,haryana,True,hr29,inperson_sale,honda,amaze,in_stock,2,321773,great,20210304102121,True,7846,50670,False,False
59,60,maruti ritz,2012,diesel,100995,234399,noida,701,hatchback,manual,vdi,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,maruti,ritz,in_stock,1,232205,great,20210109132706,True,5444,35160,False,False
60,61,maruti ritz,2012,diesel,123546,215699,noida,770,hatchback,manual,vdi,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,maruti,ritz,in_stock,1,185600,great,20201204102213,True,5010,32355,False,False
61,62,hyundai elite i20,2015,diesel,110531,420299,noida,1774,hatchback,manual,magna 1.4 crdi,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,hyundai,elite i20,in_stock,1,420000,great,20201229102855,True,9762,63045,False,False
62,63,hyundai creta,2018,diesel,78027,1149984,noida,1175,suv,automatic,1.6 crdi sx plus auto,True,meerut,uttar pradesh,True,up14,inperson_sale,hyundai,creta,in_stock,2,1068000,great,20201208220000,True,26711,172498,False,False
63,64,maruti swift,2012,diesel,129639,306199,noida,569,hatchback,manual,vdi,True,goutam  budd  nagar,uttar pradesh,True,up16,inperson_sale,maruti,swift,in_stock,1,296328,great,20201123113350,True,7112,45930,False,False
64,65,maruti swift,2009,petrol & cng,118559,215299,noida,2935,hatchback,manual,vxi,True,new delhi,delhi,True,dl2c,inperson_sale,maruti,swift,in_stock,2,197120,great,20210308143254,True,5001,32295,False,False
65,66,maruti swift,2012,diesel,156680,291399,noida,482,hatchback,manual,vdi,True,delhi,delhi,True,dl13,inperson_sale,maruti,swift,in_stock,1,266867,great,20210214094737,True,6768,43710,False,False
66,67,maruti wagon r 1.0,2010,petrol & cng,176287,219999,noida,1530,hatchback,manual,lxi cng,True,delhi,delhi,True,dl4c,inperson_sale,maruti,wagon r 1.0,in_stock,1,179790,good,20210307133800,True,5110,33000,False,False
67,68,honda amaze,2015,diesel,123934,315599,noida,1352,sedan,manual,1.5 emt i dtec,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,honda,amaze,in_stock,2,311088,great,20210117140548,True,7331,47340,False,False
68,69,audi q3,2014,diesel,66027,1332390,noida,3871,luxury suv,manual,2.0 tdi quattro mt,True,delhi,delhi,True,dl1c,inperson_sale,audi,q3,in_stock,1,1184213,great,20210307113048,True,30948,199859,False,False
69,70,hyundai creta,2015,diesel,88375,789799,noida,1009,suv,manual,1.6 sx crdi,True,delhi,delhi,True,dl1c,inperson_sale,hyundai,creta,in_stock,1,790882,great,20210314072608,True,18345,118470,False,False
70,71,maruti swift dzire,2012,diesel,180639,312099,noida,669,sedan,manual,vdi bs iv,True,goutam  budd  nagar,uttar pradesh,True,up16,inperson_sale,maruti,swift dzire,in_stock,1,302763,great,20210303084638,True,7249,46815,False,False
71,72,hyundai elite i20,2015,diesel,116697,536999,noida,676,hatchback,manual,asta 1.4 crdi,True,faridabad,haryana,True,hr51,inperson_sale,hyundai,elite i20,in_stock,1,477500,great,20201108190009,True,12473,80550,False,False
72,73,maruti vitara brezza,2016,diesel,111613,593099,noida,755,suv,manual,vdi,True,new delhi,delhi,True,dl6c,inperson_sale,maruti,vitara brezza,in_stock,1,519919,great,20201104104814,True,13776,88965,False,False
73,74,honda amaze,2014,diesel,98992,293999,noida,1790,sedan,manual,1.5 exmt i dtec,True,noida,uttar pradesh,True,up16,inperson_sale,honda,amaze,in_stock,1,256200,great,20201106052402,True,6829,44100,False,False
74,75,hyundai elite i20,2017,diesel,148526,514799,noida,1140,hatchback,manual,sportz 1.4,True,noida,uttar pradesh,True,up16,inperson_sale,hyundai,elite i20,in_stock,1,507465,great,20210217083855,True,11957,77220,False,False
75,76,toyota corolla altis,2014,diesel,103033,694599,noida,3101,luxury sedan,manual,d 4d j,True,faridabad,haryana,True,hr29,inperson_sale,toyota,corolla altis,in_stock,1,713426,great,20210214110832,True,16134,104190,False,False
76,77,maruti swift,2013,diesel,194203,284099,noida,1020,hatchback,manual,vdi,True,delhi,delhi,True,dl5c,inperson_sale,maruti,swift,in_stock,1,284626,great,20210219081759,True,6599,42615,False,False
77,78,audi q3,2014,diesel,90959,1103827,noida,3892,luxury suv,manual,2.0 tdi,True,noida,uttar pradesh,True,up16,inperson_sale,audi,q3,in_stock,1,1127710,great,20210204090050,True,25639,165575,False,False
78,79,toyota innova,2015,diesel,111562,844899,noida,1356,suv,manual,2.5 vx 7 str bs iv,True,faridabad,haryana,True,hr51,inperson_sale,toyota,innova,in_stock,1,850000,great,20210104115847,True,19625,126735,False,False
79,80,renault scala,2013,diesel,219642,264299,noida,1241,sedan,manual,rxz,True,faridabad,haryana,True,hr29,inperson_sale,renault,scala,in_stock,1,226320,good,20210304000712,True,6139,39645,False,False
80,81,maruti wagon r 1.0,2015,petrol,11343,334899,noida,3337,hatchback,manual,vxi,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,wagon r 1.0,in_stock,1,352558,great,20210322082710,True,7779,50235,False,False
81,82,maruti alto 800,2019,petrol & cng,2510,346599,noida,2873,hatchback,manual,lxi cng,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,alto 800,in_stock,1,364076,great,20210317115056,True,8051,51990,False,False
82,83,maruti alto k10,2013,petrol,21784,240199,noida,963,hatchback,manual,vxi,True,bareilly,uttar pradesh,True,up25,inperson_sale,maruti,alto k10,in_stock,2,241697,great,20210325044215,True,5579,36030,False,False
83,84,renault kwid,2019,petrol,4279,341199,noida,502,hatchback,manual,rxt,True,new delhi,delhi,True,dl12,inperson_sale,renault,kwid,in_stock,1,336000,great,20210406061039,True,7925,51180,False,False
84,85,maruti dzire,2019,petrol,11393,516599,noida,6046,sedan,manual,lxi,True,bulandshahr,uttar pradesh,True,up13,inperson_sale,maruti,dzire,in_stock,1,536586,great,20210324061859,True,11999,77490,False,False
85,86,maruti alto k10,2019,petrol,11221,358099,noida,1039,hatchback,manual,vxi opt. mt,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,alto k10,in_stock,1,360000,great,20210324112430,True,8318,53715,False,False
86,87,honda city,2010,petrol,47405,360799,noida,1064,sedan,manual,s mt petrol,True,delhi,delhi,True,dl3c,inperson_sale,honda,city,in_stock,1,352000,great,20210416075732,True,8380,54120,False,False
87,88,maruti swift,2013,petrol,43803,352799,noida,1184,hatchback,manual,vxi,True,agra,uttar pradesh,True,up80,inperson_sale,maruti,swift,in_stock,1,344573,great,20210328110246,True,8195,52920,False,False
88,89,hyundai eon,2013,petrol,24955,226199,noida,924,hatchback,manual,d lite plus,True,delhi,delhi,True,dl1c,inperson_sale,hyundai,eon,in_stock,1,208148,great,20210308151911,True,5254,33930,False,False
89,90,maruti alto 800,2016,petrol,34451,259999,noida,816,hatchback,manual,lxi,True,jhajjar,haryana,True,hr14,inperson_sale,maruti,alto 800,in_stock,1,251662,great,20210330141834,True,6039,39000,False,False
90,91,renault kwid,2016,petrol,40154,213999,noida,5697,hatchback,manual,rxt,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,renault,kwid,in_stock,1,222438,great,20210310110253,True,4971,32100,False,False
91,92,renault kwid,2016,petrol,37916,234099,noida,5518,hatchback,manual,rxt,True,faridabad,haryana,True,hr29,inperson_sale,renault,kwid,in_stock,1,241700,great,20210102062802,True,5438,35115,False,False
92,93,hyundai grand i10,2017,petrol,25826,488699,noida,935,hatchback,manual,sportz (o) 1.2 at vtvt,True,new delhi,delhi,True,dl3c,inperson_sale,hyundai,grand i10,in_stock,1,503392,great,20210327122018,True,11351,73305,False,False
93,94,hyundai grand i10,2017,petrol & cng,38901,462899,noida,1702,hatchback,manual,sportz(o) 1.2 mt,True,delhi,delhi,True,dl5c,inperson_sale,hyundai,grand i10,in_stock,1,453780,great,20210308121546,True,10752,69435,False,False
94,95,maruti wagon r 1.0,2012,petrol,39131,232999,noida,1501,hatchback,manual,lxi,True,gurgaon,haryana,True,hr26,inperson_sale,maruti,wagon r 1.0,in_stock,1,209467,great,20210405150056,True,5412,34950,False,False
95,96,renault duster,2013,diesel,28769,454599,noida,2393,suv,manual,85 ps rxl opt,False,noida,uttar pradesh,True,up16,inperson_sale,renault,duster,in_stock,1,433859,great,20210401101808,True,10559,68190,False,False
96,97,maruti alto k10,2018,petrol,3212,394399,noida,846,hatchback,manual,vxi,True,delhi,delhi,True,dl2c,inperson_sale,maruti,alto k10,in_stock,1,353454,great,20210411144641,True,9161,59160,False,False
97,98,hyundai eon,2016,petrol,14776,278199,noida,1063,hatchback,manual,era plus,True,new delhi,delhi,True,dl5c,inperson_sale,hyundai,eon,in_stock,1,265907,great,20210330112813,True,6462,41730,False,False
98,99,maruti swift,2013,diesel,50647,349299,noida,664,hatchback,manual,vdi,True,delhi,delhi,True,dl3c,inperson_sale,maruti,swift,in_stock,2,335481,great,20210316175646,True,8113,52395,False,False
99,100,hyundai elite i20,2019,petrol,21556,571299,noida,1725,hatchback,manual,1.2 magna plus vtvt,True,auraiya,uttar pradesh,True,up79,inperson_sale,hyundai,elite i20,in_stock,1,578988,great,20210410094415,True,13270,85695,False,False
100,101,maruti swift,2013,petrol,48461,370599,noida,775,hatchback,manual,vxi,True,new delhi,delhi,True,dl12,inperson_sale,maruti,swift,in_transit,1,357366,great,20210415075149,True,8608,55590,False,False
101,102,maruti swift,2012,diesel,62476,317399,noida,693,hatchback,manual,vdi,True,goutam  budd  nagar,uttar pradesh,True,up16,inperson_sale,maruti,swift,in_stock,1,334103,great,20210309171141,True,7372,47610,False,False
102,103,tata tiago,2017,diesel,85779,332399,noida,1000,hatchback,manual,xt 1.05 revotorq,True,delhi,delhi,True,dl1c,inperson_sale,tata,tiago,in_stock,2,333702,great,20210407103921,True,7721,49860,False,False
103,104,hyundai creta,2015,petrol,20087,823499,noida,1301,suv,manual,1.6 s,True,noida,uttar pradesh,True,up16,inperson_sale,hyundai,creta,in_stock,2,841253,great,20210302152307,True,19128,123525,False,False
104,105,hyundai i10,2011,petrol,59431,223599,noida,1066,hatchback,manual,sportz 1.2 kappa2,True,raebarely,uttar pradesh,True,up33,inperson_sale,hyundai,i10,in_stock,1,202583,great,20210222122044,True,5194,33540,False,False
105,106,toyota etios liva,2013,petrol,40911,294399,noida,1343,hatchback,manual,g,True,delhi,delhi,True,dl8c,inperson_sale,toyota,etios liva,in_stock,2,269633,good,20210404115511,True,6838,44160,False,False
106,107,maruti ertiga,2019,petrol,8326,897199,noida,6979,suv,manual,zxi smart hybrid,True,new delhi,delhi,True,dl6c,inperson_sale,maruti,ertiga,in_stock,1,911988,great,20210327095302,True,20840,134580,False,False
107,108,hyundai i20,2011,petrol,71538,256699,noida,878,hatchback,manual,magna o 1.2,True,sonipat,haryana,True,hr10,inperson_sale,hyundai,i20,in_stock,1,239609,great,20210223132837,True,5962,38505,False,False
108,109,datsun redi go,2016,petrol,28840,221399,noida,1922,hatchback,manual,t (o),True,delhi,delhi,True,dl1c,inperson_sale,datsun,redi go,in_stock,1,201724,good,20210406100837,True,5143,33210,False,False
109,110,maruti celerio,2015,petrol,53095,354999,noida,649,hatchback,manual,zxi,True,delhi,delhi,True,dl9c,inperson_sale,maruti,celerio,in_stock,1,355044,great,20210409165200,True,8246,53250,False,False
110,111,hyundai i20,2012,diesel,59922,276399,noida,991,hatchback,manual,magna 1.4 crdi,True,faridabad,haryana,True,hr51,inperson_sale,hyundai,i20,in_stock,1,237167,good,20210401082305,True,6420,41460,False,False
111,112,honda wr-v,2018,petrol,28290,709899,noida,2443,suv,manual,1.2 i-vtec vx mt,True,noida,uttar pradesh,True,up16,inperson_sale,honda,wr-v,in_stock,1,738712,great,20210308112721,True,16489,106485,False,False
112,113,maruti baleno,2017,petrol,34205,509399,noida,519,hatchback,manual,zeta 1.2 k12,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,baleno,in_stock,1,470617,great,20210408092810,True,11832,76410,False,False
113,114,maruti swift,2015,petrol,57972,369399,noida,938,hatchback,manual,vxi,True,delhi,delhi,True,dl7c,inperson_sale,maruti,swift,in_stock,3,369391,great,20210403111009,True,8580,55410,False,False
114,115,maruti swift,2008,petrol,61909,203099,noida,654,hatchback,manual,lxi 1.3,True,delhi,delhi,True,dl7c,inperson_sale,maruti,swift,in_stock,1,176651,good,20210322095435,True,4717,30465,False,False
115,116,mahindra xuv500,2012,diesel,49367,479899,noida,4922,luxury suv,manual,w8 fwd,True,noida,uttar pradesh,True,up16,inperson_sale,mahindra,xuv500,in_stock,3,395073,good,20210402140614,True,11147,71985,False,False
116,117,mahindra xuv500,2014,diesel,64950,555999,noida,3259,luxury suv,manual,w8 fwd,True,new delhi,delhi,True,dl8c,inperson_sale,mahindra,xuv500,in_stock,2,505938,great,20201028213004,True,12914,83400,False,False
117,118,maruti sx4,2010,petrol,61261,232899,noida,1143,sedan,manual,zxi,True,ghaziabad,uttar pradesh,True,up16,inperson_sale,maruti,sx4,in_stock,1,200068,good,20210222135238,True,5410,34935,False,False
118,119,honda amaze,2013,diesel,72461,301399,noida,778,sedan,manual,1.5 exmt i dtec,True,delhi,delhi,True,dl13,inperson_sale,honda,amaze,in_stock,1,270460,great,20210202130148,True,7001,45210,False,False
119,120,maruti swift,2013,diesel,67011,369299,noida,494,hatchback,manual,vdi,True,faridabad,haryana,True,hr29,inperson_sale,maruti,swift,in_stock,1,354032,great,20210401173933,True,8578,55395,False,False
120,121,hyundai elite i20,2015,petrol,53171,480399,noida,1015,hatchback,manual,sportz 1.2,True,noida,uttar pradesh,True,up16,inperson_sale,hyundai,elite i20,in_stock,1,447444,great,20210413103830,True,11158,72060,False,False
121,122,hyundai grand i10,2017,petrol,93152,377799,noida,631,hatchback,manual,sportz(o) 1.2 mt,True,delhi,delhi,True,dl10,inperson_sale,hyundai,grand i10,in_stock,1,388000,good,20210305111634,True,8775,56670,False,False
122,123,volkswagen polo,2011,petrol,59541,275099,noida,496,hatchback,manual,comfortline 1.2l petrol,True,gurgaon,haryana,True,hr26,inperson_sale,volkswagen,polo,in_transit,2,217138,good,20210408093453,True,6390,41265,False,False
123,124,maruti zen estilo,2011,petrol,89510,188399,noida,1377,hatchback,manual,lxi,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,zen estilo,in_stock,1,164094,good,20210312110607,True,4376,28260,False,False
124,125,tata tiago,2016,petrol,55538,359399,noida,1373,hatchback,manual,xt 1.2 revotron,True,delhi,delhi,True,dl10,inperson_sale,tata,tiago,in_stock,1,347573,great,20210409065607,True,8348,53910,False,False
